Updated On,State,First Dose Administered,Second Dose Administered,Total Doses Administered
2021-02-07,Andaman and Nicobar Islands,2780.0,0.0,2780.0
2021-02-08,Andaman and Nicobar Islands,2780.0,0.0,2780.0
2021-02-09,Andaman and Nicobar Islands,2780.0,0.0,2780.0
2021-02-10,Andaman and Nicobar Islands,2780.0,0.0,2780.0
2021-02-11,Andaman and Nicobar Islands,2780.0,0.0,2780.0
2021-02-12,Andaman and Nicobar Islands,2852.0,0.0,2852.0
2021-02-13,Andaman and Nicobar Islands,3040.0,0.0,3040.0
2021-02-14,Andaman and Nicobar Islands,3040.0,0.0,3040.0
2021-02-15,Andaman and Nicobar Islands,3363.0,104.0,3467.0
2021-02-16,Andaman and Nicobar Islands,3363.0,104.0,3467.0
2021-02-17,Andaman and Nicobar Islands,3560.0,104.0,3664.0
2021-02-18,Andaman and Nicobar Islands,3505.0,341.0,3846.0
2021-02-19,Andaman and Nicobar Islands,4246.0,652.0,4898.0
2021-03-01,Andaman and Nicobar Islands,6029.0,1960.0,7989.0
2021-03-02,Andaman and Nicobar Islands,6638.0,2086.0,8724.0
2021-03-03,Andaman and Nicobar Islands,6749.0,2088.0,8837.0
2021-03-04,Andaman and Nicobar Islands,7266.0,2095.0,9361.0
2021-03-05,Andaman and Nicobar Islands,7799.0,2098.0,9897.0
2021-03-06,Andaman and Nicobar Islands,8288.0,2210.0,10498.0
2021-03-07,Andaman and Nicobar Islands,8848.0,2253.0,11101.0
2021-03-08,Andaman and Nicobar Islands,9629.0,2375.0,12004.0
2021-03-09,Andaman and Nicobar Islands,7542.0,2390.0,9932.0
2021-03-10,Andaman and Nicobar Islands,7735.0,2426.0,10161.0
2021-03-11,Andaman and Nicobar Islands,8218.0,2486.0,10704.0
2021-03-12,Andaman and Nicobar Islands,8735.0,2586.0,11321.0
2021-03-13,Andaman and Nicobar Islands,8899.0,2739.0,11638.0
2021-03-14,Andaman and Nicobar Islands,8926.0,2767.0,11693.0
2021-03-15,Andaman and Nicobar Islands,9202.0,2843.0,12045.0
2021-03-16,Andaman and Nicobar Islands,11950.0,2876.0,14826.0
2021-03-17,Andaman and Nicobar Islands,12509.0,2980.0,15489.0
2021-03-18,Andaman and Nicobar Islands,12948.0,3183.0,16131.0
2021-03-19,Andaman and Nicobar Islands,13293.0,3319.0,16612.0
2021-04-01,Andaman and Nicobar Islands,17435.0,5173.0,22608.0
2021-04-02,Andaman and Nicobar Islands,17559.0,5179.0,22738.0
2021-04-03,Andaman and Nicobar Islands,17998.0,5223.0,23221.0
2021-04-04,Andaman and Nicobar Islands,18677.0,5224.0,23901.0
2021-04-05,Andaman and Nicobar Islands,19499.0,5275.0,24774.0
2021-04-06,Andaman and Nicobar Islands,20445.0,5321.0,25766.0
2021-04-07,Andaman and Nicobar Islands,22631.0,5347.0,27978.0
2021-04-08,Andaman and Nicobar Islands,25363.0,5403.0,30766.0
2021-04-09,Andaman and Nicobar Islands,27698.0,5519.0,33217.0
2021-04-10,Andaman and Nicobar Islands,29863.0,5570.0,35433.0
2021-04-11,Andaman and Nicobar Islands,32012.0,5612.0,37624.0
2021-04-12,Andaman and Nicobar Islands,36572.0,5713.0,42285.0
2021-04-13,Andaman and Nicobar Islands,43013.0,5832.0,48845.0
2021-04-14,Andaman and Nicobar Islands,49654.0,5941.0,55595.0
2021-04-15,Andaman and Nicobar Islands,54778.0,6079.0,60857.0
2021-04-16,Andaman and Nicobar Islands,61339.0,6323.0,67662.0
2021-04-17,Andaman and Nicobar Islands,67451.0,6568.0,74019.0
2021-04-18,Andaman and Nicobar Islands,71275.0,6878.0,78153.0
2021-04-19,Andaman and Nicobar Islands,75675.0,7353.0,83028.0
2021-05-01,Andaman and Nicobar Islands,94002.0,11088.0,105090.0
2021-05-02,Andaman and Nicobar Islands,94125.0,11160.0,105285.0
2021-05-03,Andaman and Nicobar Islands,94633.0,11617.0,106250.0
2021-05-04,Andaman and Nicobar Islands,95064.0,11954.0,107018.0
2021-05-05,Andaman and Nicobar Islands,95500.0,12455.0,107955.0
2021-05-06,Andaman and Nicobar Islands,96229.0,12831.0,109060.0
2021-05-07,Andaman and Nicobar Islands,96970.0,13191.0,110161.0
2021-05-08,Andaman and Nicobar Islands,97639.0,13529.0,111168.0
2021-05-09,Andaman and Nicobar Islands,97748.0,13537.0,111285.0
2021-05-10,Andaman and Nicobar Islands,98439.0,13964.0,112403.0
2021-05-11,Andaman and Nicobar Islands,98845.0,14174.0,113019.0
2021-05-12,Andaman and Nicobar Islands,99218.0,14404.0,113622.0
2021-05-13,Andaman and Nicobar Islands,99602.0,14798.0,114400.0
2021-05-14,Andaman and Nicobar Islands,99690.0,14808.0,114498.0
2021-05-15,Andaman and Nicobar Islands,100058.0,15130.0,115188.0
2021-05-16,Andaman and Nicobar Islands,100058.0,15130.0,115188.0
2021-05-17,Andaman and Nicobar Islands,100492.0,15135.0,115627.0
2021-05-18,Andaman and Nicobar Islands,100773.0,15138.0,115911.0
2021-01-16,Andhra Pradesh,4216.0,0.0,4216.0
2021-01-17,Andhra Pradesh,9251.0,0.0,9251.0
2021-01-18,Andhra Pradesh,12234.0,0.0,12234.0
2021-01-19,Andhra Pradesh,25539.0,0.0,25539.0
2021-02-01,Andhra Pradesh,133642.0,0.0,133642.0
2021-02-02,Andhra Pradesh,133646.0,0.0,133646.0
2021-02-03,Andhra Pradesh,161302.0,0.0,161302.0
2021-02-04,Andhra Pradesh,188704.0,0.0,188704.0
2021-02-05,Andhra Pradesh,218899.0,0.0,218899.0
2021-02-06,Andhra Pradesh,245938.0,0.0,245938.0
2021-02-07,Andhra Pradesh,249205.0,0.0,249205.0
2021-02-08,Andhra Pradesh,263588.0,0.0,263588.0
2021-02-09,Andhra Pradesh,275654.0,0.0,275654.0
2021-02-10,Andhra Pradesh,286401.0,0.0,286401.0
2021-02-11,Andhra Pradesh,294574.0,0.0,294574.0
2021-02-12,Andhra Pradesh,303031.0,0.0,303031.0
2021-02-13,Andhra Pradesh,313507.0,6233.0,319740.0
2021-02-14,Andhra Pradesh,313509.0,6234.0,319743.0
2021-02-15,Andhra Pradesh,329041.0,16789.0,345830.0
2021-02-16,Andhra Pradesh,344146.0,26734.0,370880.0
2021-02-17,Andhra Pradesh,364844.0,38007.0,402851.0
2021-02-18,Andhra Pradesh,359785.0,54253.0,414038.0
2021-02-19,Andhra Pradesh,403279.0,73226.0,476505.0
2021-03-01,Andhra Pradesh,535955.0,137812.0,673767.0
2021-03-02,Andhra Pradesh,559569.0,142466.0,702035.0
2021-03-03,Andhra Pradesh,577662.0,146457.0,724119.0
2021-03-04,Andhra Pradesh,596324.0,153121.0,749445.0
2021-03-05,Andhra Pradesh,620332.0,164927.0,785259.0
2021-03-06,Andhra Pradesh,653058.0,183119.0,836177.0
2021-03-07,Andhra Pradesh,653146.0,183191.0,836337.0
2021-03-08,Andhra Pradesh,688936.0,197239.0,886175.0
2021-03-09,Andhra Pradesh,530098.0,210291.0,740389.0
2021-03-10,Andhra Pradesh,561939.0,219271.0,781210.0
2021-03-11,Andhra Pradesh,568693.0,220760.0,789453.0
2021-03-12,Andhra Pradesh,606440.0,231391.0,837831.0
2021-03-13,Andhra Pradesh,643857.0,237255.0,881112.0
2021-03-14,Andhra Pradesh,644610.0,237311.0,881921.0
2021-03-15,Andhra Pradesh,708969.0,246932.0,955901.0
2021-03-16,Andhra Pradesh,976078.0,257997.0,1234075.0
2021-03-17,Andhra Pradesh,1112607.0,268353.0,1380960.0
2021-03-18,Andhra Pradesh,1194255.0,277788.0,1472043.0
2021-03-19,Andhra Pradesh,1280956.0,288175.0,1569131.0
2021-04-01,Andhra Pradesh,2421043.0,404678.0,2825721.0
2021-04-02,Andhra Pradesh,2487480.0,411067.0,2898547.0
2021-04-03,Andhra Pradesh,2566814.0,420023.0,2986837.0
2021-04-04,Andhra Pradesh,2621707.0,425861.0,3047568.0
2021-05-04,Andhra Pradesh,2706804.0,436010.0,3142814.0
2021-04-06,Andhra Pradesh,2764322.0,443595.0,3207917.0
2021-04-07,Andhra Pradesh,2890332.0,461678.0,3352010.0
2021-04-08,Andhra Pradesh,3020007.0,476360.0,3496367.0
2021-04-09,Andhra Pradesh,3081066.0,490040.0,3571106.0
2021-04-10,Andhra Pradesh,3281351.0,521886.0,3803237.0
2021-04-11,Andhra Pradesh,3362926.0,529533.0,3892459.0
2021-04-12,Andhra Pradesh,3380423.0,533246.0,3913669.0
2021-04-13,Andhra Pradesh,3383754.0,534765.0,3918519.0
2021-04-14,Andhra Pradesh,3973533.0,585223.0,4558756.0
2021-04-15,Andhra Pradesh,4003901.0,593541.0,4597442.0
2021-04-16,Andhra Pradesh,4007469.0,596253.0,4603722.0
2021-04-17,Andhra Pradesh,4009940.0,597920.0,4607860.0
2021-04-18,Andhra Pradesh,4013140.0,599876.0,4613016.0
2021-04-19,Andhra Pradesh,4140526.0,616056.0,4756582.0
2021-05-01,Andhra Pradesh,5174960.0,1519337.0,6694297.0
2021-05-02,Andhra Pradesh,5176393.0,1519932.0,6696325.0
2021-05-03,Andhra Pradesh,5195851.0,1536916.0,6732767.0
2021-05-04,Andhra Pradesh,5204180.0,1543848.0,6748028.0
2021-05-05,Andhra Pradesh,5273196.0,1674029.0,6947225.0
2021-05-06,Andhra Pradesh,5345545.0,1794561.0,7140106.0
2021-05-07,Andhra Pradesh,5393064.0,1862155.0,7255219.0
2021-05-08,Andhra Pradesh,5436592.0,1974208.0,7410800.0
2021-05-09,Andhra Pradesh,5443382.0,1982310.0,7425692.0
2021-05-10,Andhra Pradesh,5443951.0,1983827.0,7427778.0
2021-05-11,Andhra Pradesh,5450913.0,2012986.0,7463899.0
2021-05-12,Andhra Pradesh,5459958.0,2044436.0,7504394.0
2021-05-13,Andhra Pradesh,5470083.0,2081862.0,7551945.0
2021-05-14,Andhra Pradesh,5474544.0,2096342.0,7570886.0
2021-05-15,Andhra Pradesh,5484714.0,2167213.0,7651927.0
2021-05-16,Andhra Pradesh,5487757.0,2176599.0,7664356.0
2021-05-17,Andhra Pradesh,5504954.0,2226300.0,7731254.0
2021-05-18,Andhra Pradesh,5518465.0,2281240.0,7799705.0
2021-01-16,Arunachal Pradesh,81.0,0.0,81.0
2021-01-17,Arunachal Pradesh,178.0,0.0,178.0
2021-01-18,Arunachal Pradesh,560.0,0.0,560.0
2021-01-19,Arunachal Pradesh,574.0,0.0,574.0
2021-02-01,Arunachal Pradesh,6668.0,0.0,6668.0
2021-02-02,Arunachal Pradesh,6668.0,0.0,6668.0
2021-02-03,Arunachal Pradesh,6758.0,0.0,6758.0
2021-02-04,Arunachal Pradesh,7785.0,0.0,7785.0
2021-02-05,Arunachal Pradesh,8745.0,0.0,8745.0
2021-02-06,Arunachal Pradesh,9288.0,0.0,9288.0
2021-02-07,Arunachal Pradesh,9292.0,0.0,9292.0
2021-02-08,Arunachal Pradesh,10438.0,0.0,10438.0
2021-02-09,Arunachal Pradesh,10465.0,0.0,10465.0
2021-02-10,Arunachal Pradesh,10529.0,0.0,10529.0
2021-02-11,Arunachal Pradesh,11372.0,0.0,11372.0
2021-02-12,Arunachal Pradesh,12173.0,0.0,12173.0
2021-02-13,Arunachal Pradesh,13251.0,456.0,13707.0
2021-02-14,Arunachal Pradesh,13274.0,456.0,13730.0
2021-02-15,Arunachal Pradesh,15434.0,1584.0,17018.0
2021-02-16,Arunachal Pradesh,15546.0,1584.0,17130.0
2021-02-17,Arunachal Pradesh,15552.0,1584.0,17136.0
2021-02-18,Arunachal Pradesh,17389.0,3032.0,20421.0
2021-02-19,Arunachal Pradesh,19872.0,4110.0,23982.0
2021-03-01,Arunachal Pradesh,25903.0,6962.0,32865.0
2021-03-02,Arunachal Pradesh,29841.0,7649.0,37490.0
2021-03-03,Arunachal Pradesh,30253.0,7684.0,37937.0
2021-03-04,Arunachal Pradesh,33136.0,8262.0,41398.0
2021-03-05,Arunachal Pradesh,35734.0,9147.0,44881.0
2021-03-06,Arunachal Pradesh,37249.0,9652.0,46901.0
2021-03-07,Arunachal Pradesh,37299.0,9661.0,46960.0
2021-03-08,Arunachal Pradesh,39451.0,10499.0,49950.0
2021-03-09,Arunachal Pradesh,30634.0,10870.0,41504.0
2021-03-10,Arunachal Pradesh,30769.0,10906.0,41675.0
2021-03-11,Arunachal Pradesh,32947.0,11562.0,44509.0
2021-03-12,Arunachal Pradesh,34659.0,12104.0,46763.0
2021-03-13,Arunachal Pradesh,35595.0,12548.0,48143.0
2021-03-14,Arunachal Pradesh,35654.0,12561.0,48215.0
2021-03-15,Arunachal Pradesh,38085.0,13293.0,51378.0
2021-03-16,Arunachal Pradesh,49653.0,13751.0,63404.0
2021-03-17,Arunachal Pradesh,50078.0,13792.0,63870.0
2021-03-18,Arunachal Pradesh,52511.0,14731.0,67242.0
2021-03-19,Arunachal Pradesh,54173.0,15556.0,69729.0
2021-04-01,Arunachal Pradesh,73266.0,21456.0,94722.0
2021-04-02,Arunachal Pradesh,75047.0,21835.0,96882.0
2021-04-03,Arunachal Pradesh,78114.0,22620.0,100734.0
2021-04-04,Arunachal Pradesh,79783.0,22825.0,102608.0
2021-04-05,Arunachal Pradesh,82757.0,23931.0,106688.0
2021-04-06,Arunachal Pradesh,84581.0,24583.0,109164.0
2021-04-07,Arunachal Pradesh,88000.0,25682.0,113682.0
2021-04-08,Arunachal Pradesh,93106.0,27291.0,120397.0
2021-04-09,Arunachal Pradesh,97939.0,28524.0,126463.0
2021-04-10,Arunachal Pradesh,101756.0,29546.0,131302.0
2021-04-11,Arunachal Pradesh,104975.0,30001.0,134976.0
2021-04-12,Arunachal Pradesh,112551.0,31586.0,144137.0
2021-04-13,Arunachal Pradesh,118825.0,33023.0,151848.0
2021-04-14,Arunachal Pradesh,124312.0,33700.0,158012.0
2021-04-15,Arunachal Pradesh,126950.0,34210.0,161160.0
2021-04-16,Arunachal Pradesh,130812.0,35820.0,166632.0
2021-04-17,Arunachal Pradesh,133947.0,36809.0,170756.0
2021-04-18,Arunachal Pradesh,135342.0,37272.0,172614.0
2021-04-19,Arunachal Pradesh,140794.0,39493.0,180287.0
2021-05-01,Arunachal Pradesh,189910.0,55614.0,245524.0
2021-05-02,Arunachal Pradesh,190514.0,56066.0,246580.0
2021-05-03,Arunachal Pradesh,193841.0,58686.0,252527.0
2021-05-04,Arunachal Pradesh,196476.0,60453.0,256929.0
2021-05-05,Arunachal Pradesh,199517.0,62451.0,261968.0
2021-05-06,Arunachal Pradesh,202965.0,64776.0,267741.0
2021-05-07,Arunachal Pradesh,205709.0,67473.0,273182.0
2021-05-08,Arunachal Pradesh,207746.0,69894.0,277640.0
2021-05-09,Arunachal Pradesh,208414.0,70569.0,278983.0
2021-05-10,Arunachal Pradesh,210862.0,74159.0,285021.0
2021-05-11,Arunachal Pradesh,212600.0,76221.0,288821.0
2021-05-12,Arunachal Pradesh,214210.0,76576.0,290786.0
2021-05-13,Arunachal Pradesh,216168.0,77301.0,293469.0
2021-05-14,Arunachal Pradesh,217389.0,77645.0,295034.0
2021-05-15,Arunachal Pradesh,218759.0,77881.0,296640.0
2021-05-16,Arunachal Pradesh,219171.0,77884.0,297055.0
2021-05-17,Arunachal Pradesh,224664.0,77914.0,302578.0
2021-05-18,Arunachal Pradesh,230286.0,77959.0,308245.0
2021-01-16,Assam,401.0,0.0,401.0
2021-01-17,Assam,466.0,0.0,466.0
2021-01-18,Assam,722.0,0.0,722.0
2021-01-19,Assam,1254.0,0.0,1254.0
2021-02-01,Assam,32329.0,0.0,32329.0
2021-02-02,Assam,34848.0,0.0,34848.0
2021-02-03,Assam,36100.0,0.0,36100.0
2021-02-04,Assam,52645.0,0.0,52645.0
2021-02-05,Assam,68628.0,0.0,68628.0
2021-02-06,Assam,78498.0,0.0,78498.0
2021-02-07,Assam,80284.0,0.0,80284.0
2021-02-08,Assam,91026.0,0.0,91026.0
2021-02-09,Assam,100295.0,0.0,100295.0
2021-02-10,Assam,103044.0,0.0,103044.0
2021-02-11,Assam,109906.0,0.0,109906.0
2021-02-12,Assam,117506.0,0.0,117506.0
2021-02-13,Assam,122050.0,2006.0,124056.0
2021-02-14,Assam,122161.0,2016.0,124177.0
2021-02-15,Assam,124764.0,3660.0,128424.0
2021-02-16,Assam,127777.0,5169.0,132946.0
2021-02-17,Assam,128941.0,5384.0,134325.0
2021-02-18,Assam,135328.0,7622.0,142950.0
2021-02-19,Assam,146695.0,9857.0,156552.0
2021-03-01,Assam,195376.0,27758.0,223134.0
2021-03-02,Assam,216152.0,30506.0,246658.0
2021-03-03,Assam,236065.0,32104.0,268169.0
2021-03-04,Assam,272629.0,37901.0,310530.0
2021-03-05,Assam,307984.0,46489.0,354473.0
2021-03-06,Assam,343601.0,52568.0,396169.0
2021-03-07,Assam,354572.0,53294.0,407866.0
2021-03-08,Assam,385170.0,61359.0,446529.0
2021-03-09,Assam,354644.0,68414.0,423058.0
2021-03-10,Assam,368957.0,72221.0,441178.0
2021-03-11,Assam,385001.0,76070.0,461071.0
2021-03-12,Assam,399648.0,80690.0,480338.0
2021-03-13,Assam,412421.0,84204.0,496625.0
2021-03-14,Assam,413455.0,84267.0,497722.0
2021-03-15,Assam,429664.0,88450.0,518114.0
2021-03-16,Assam,505646.0,92141.0,597787.0
2021-03-17,Assam,520961.0,94029.0,614990.0
2021-03-18,Assam,537405.0,98148.0,635553.0
2021-03-19,Assam,552023.0,103654.0,655677.0
2021-04-01,Assam,970643.0,157292.0,1127935.0
2021-04-02,Assam,1002220.0,164782.0,1167002.0
2021-04-03,Assam,1030573.0,173403.0,1203976.0
2021-04-04,Assam,1047611.0,177676.0,1225287.0
2021-04-05,Assam,1075940.0,186284.0,1262224.0
2021-04-06,Assam,1097741.0,192369.0,1290110.0
2021-04-07,Assam,1133750.0,204730.0,1338480.0
2021-04-08,Assam,1181704.0,223370.0,1405074.0
2021-04-09,Assam,1215483.0,238777.0,1454260.0
2021-04-10,Assam,1236130.0,249957.0,1486087.0
2021-04-11,Assam,1244425.0,254268.0,1498693.0
2021-04-12,Assam,1263243.0,267508.0,1530751.0
2021-04-13,Assam,1274714.0,275234.0,1549948.0
2021-04-14,Assam,1276940.0,276936.0,1553876.0
2021-04-15,Assam,1277864.0,277584.0,1555448.0
2021-04-16,Assam,1282985.0,281469.0,1564454.0
2021-04-17,Assam,1295462.0,290719.0,1586181.0
2021-04-18,Assam,1302992.0,294473.0,1597465.0
2021-04-19,Assam,1351522.0,325191.0,1676713.0
2021-05-01,Assam,2020530.0,553535.0,2574065.0
2021-05-02,Assam,2033174.0,556725.0,2589899.0
2021-05-03,Assam,2096948.0,578898.0,2675846.0
2021-05-04,Assam,2152500.0,598704.0,2751204.0
2021-05-05,Assam,2176851.0,608987.0,2785838.0
2021-05-06,Assam,2211808.0,623644.0,2835452.0
2021-05-07,Assam,2277554.0,642014.0,2919568.0
2021-05-08,Assam,2346318.0,656539.0,3002857.0
2021-05-09,Assam,2366422.0,660607.0,3027029.0
2021-05-10,Assam,2434046.0,686470.0,3120516.0
2021-05-11,Assam,2487465.0,709685.0,3197150.0
2021-05-12,Assam,2518410.0,714921.0,3233331.0
2021-05-13,Assam,2556294.0,724129.0,3280423.0
2021-05-14,Assam,2578539.0,727453.0,3305992.0
2021-05-15,Assam,2631676.0,730877.0,3362553.0
2021-05-16,Assam,2670104.0,731392.0,3401496.0
2021-05-17,Assam,2730754.0,741237.0,3471991.0
2021-05-18,Assam,2782676.0,749254.0,3531930.0
2021-01-16,Bihar,2967.0,0.0,2967.0
2021-01-17,Bihar,3700.0,0.0,3700.0
2021-01-18,Bihar,7883.0,0.0,7883.0
2021-01-19,Bihar,15546.0,0.0,15546.0
2021-02-01,Bihar,144845.0,0.0,144845.0
2021-02-02,Bihar,181290.0,0.0,181290.0
2021-02-03,Bihar,219359.0,0.0,219359.0
2021-02-04,Bihar,263973.0,0.0,263973.0
2021-02-05,Bihar,308439.0,0.0,308439.0
2021-02-06,Bihar,330327.0,0.0,330327.0
2021-02-07,Bihar,335765.0,0.0,335765.0
2021-02-08,Bihar,353743.0,0.0,353743.0
2021-02-09,Bihar,373801.0,0.0,373801.0
2021-02-10,Bihar,388881.0,0.0,388881.0
2021-02-11,Bihar,409263.0,0.0,409263.0
2021-02-12,Bihar,430554.0,0.0,430554.0
2021-02-13,Bihar,451706.0,55.0,451761.0
2021-02-14,Bihar,452936.0,55.0,452991.0
2021-02-15,Bihar,470549.0,13264.0,483813.0
2021-02-16,Bihar,472215.0,13518.0,485733.0
2021-02-17,Bihar,481352.0,15155.0,496507.0
2021-02-18,Bihar,497328.0,32563.0,529891.0
2021-02-19,Bihar,512327.0,34676.0,547003.0
2021-03-01,Bihar,559321.0,78228.0,637549.0
2021-03-02,Bihar,568137.0,90040.0,658177.0
2021-03-03,Bihar,581124.0,108468.0,689592.0
2021-03-04,Bihar,598233.0,135437.0,733670.0
2021-03-05,Bihar,618296.0,159647.0,777943.0
2021-03-06,Bihar,643684.0,184968.0,828652.0
2021-03-07,Bihar,644690.0,185805.0,830495.0
2021-03-08,Bihar,784521.0,212334.0,996855.0
2021-03-09,Bihar,650004.0,232782.0,882786.0
2021-03-10,Bihar,695938.0,249778.0,945716.0
2021-03-11,Bihar,700136.0,251102.0,951238.0
2021-03-12,Bihar,798011.0,270767.0,1068778.0
2021-03-13,Bihar,864349.0,290766.0,1155115.0
2021-03-14,Bihar,867980.0,291724.0,1159704.0
2021-03-15,Bihar,928808.0,309873.0,1238681.0
2021-03-16,Bihar,1197777.0,324029.0,1521806.0
2021-03-17,Bihar,1299718.0,333753.0,1633471.0
2021-03-18,Bihar,1364201.0,345260.0,1709461.0
2021-03-19,Bihar,1427007.0,354908.0,1781915.0
2021-04-01,Bihar,2433633.0,418180.0,2851813.0
2021-04-02,Bihar,2638486.0,426368.0,3064854.0
2021-04-03,Bihar,2763236.0,432578.0,3195814.0
2021-04-04,Bihar,2908130.0,438709.0,3346839.0
2021-04-05,Bihar,3031775.0,446835.0,3478610.0
2021-04-06,Bihar,3217315.0,458828.0,3676143.0
2021-04-07,Bihar,3500712.0,481257.0,3981969.0
2021-04-08,Bihar,3663711.0,502092.0,4165803.0
2021-04-09,Bihar,3721775.0,511862.0,4233637.0
2021-04-10,Bihar,3953983.0,537244.0,4491227.0
2021-04-11,Bihar,4188252.0,556503.0,4744755.0
2021-04-12,Bihar,4372599.0,579846.0,4952445.0
2021-04-13,Bihar,4456899.0,592446.0,5049345.0
2021-04-14,Bihar,4608655.0,616991.0,5225646.0
2021-04-15,Bihar,4714910.0,637950.0,5352860.0
2021-04-16,Bihar,4774916.0,651371.0,5426287.0
2021-04-17,Bihar,4895185.0,682821.0,5578006.0
2021-04-18,Bihar,4984400.0,701974.0,5686374.0
2021-04-19,Bihar,5099038.0,737639.0,5836677.0
2021-05-01,Bihar,5928725.0,1119045.0,7047770.0
